permission_id,legacy_key,legacy_table_name,proposed_ability,assigned_role_ids,assigned_role_names,assignment_count,target_scope,authorization_contract,migration_status,required_test
151,delete_canvas_work_serv,canvas_work_serv,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\CanvasWorkServResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
152,browse_canvas_del_time,canvas_del_time,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\CanvasDelTimeResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
153,read_canvas_del_time,canvas_del_time,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\CanvasDelTimeResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
154,edit_canvas_del_time,canvas_del_time,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\CanvasDelTimeResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
155,add_canvas_del_time,canvas_del_time,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\CanvasDelTimeResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
156,delete_canvas_del_time,canvas_del_time,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\CanvasDelTimeResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
157,browse_canvas_interiers,canvas_interiers,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\CanvasInteriersResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
158,read_canvas_interiers,canvas_interiers,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\CanvasInteriersResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
159,edit_canvas_interiers,canvas_interiers,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Catalog\Resources\CanvasInteriersResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
160,add_canvas_interiers,canvas_interiers,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\CanvasInteriersResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
161,delete_canvas_interiers,canvas_interiers,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Catalog\Resources\CanvasInteriersResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
167,browse_canvas_rams,canvas_rams,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\CanvasRamsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
168,read_canvas_rams,canvas_rams,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\CanvasRamsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
169,edit_canvas_rams,canvas_rams,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Catalog\Resources\CanvasRamsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
170,add_canvas_rams,canvas_rams,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\CanvasRamsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
171,delete_canvas_rams,canvas_rams,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Catalog\Resources\CanvasRamsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
172,browse_page_faq,page_faq,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\PageFaqResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
173,read_page_faq,page_faq,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\PageFaqResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
174,edit_page_faq,page_faq,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\PageFaqResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
175,add_page_faq,page_faq,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\PageFaqResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
176,delete_page_faq,page_faq,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\PageFaqResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
177,browse_page_faq_desc,page_faq_desc,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\PageFaqDescResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
178,read_page_faq_desc,page_faq_desc,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\PageFaqDescResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
179,edit_page_faq_desc,page_faq_desc,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\PageFaqDescResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
180,add_page_faq_desc,page_faq_desc,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\PageFaqDescResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
181,delete_page_faq_desc,page_faq_desc,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\PageFaqDescResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
182,browse_canvas_global,canvas_global,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\CanvasGlobalResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
183,read_canvas_global,canvas_global,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\CanvasGlobalResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
184,edit_canvas_global,canvas_global,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\CanvasGlobalResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
185,add_canvas_global,canvas_global,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\CanvasGlobalResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
186,delete_canvas_global,canvas_global,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\CanvasGlobalResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
187,browse_canvas_comp_steps_arts_packs,canvas_comp_steps_arts_packs,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\CanvasCompStepsArtsPacksResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
188,read_canvas_comp_steps_arts_packs,canvas_comp_steps_arts_packs,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\CanvasCompStepsArtsPacksResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
189,edit_canvas_comp_steps_arts_packs,canvas_comp_steps_arts_packs,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\CanvasCompStepsArtsPacksResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
190,add_canvas_comp_steps_arts_packs,canvas_comp_steps_arts_packs,create,4|5|8,"manager|Admin 2|seo_manager",3,"App\Filament\Clusters\Content\Resources\CanvasCompStepsArtsPacksResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
191,delete_canvas_comp_steps_arts_packs,canvas_comp_steps_arts_packs,delete,4|8,manager|seo_manager,2,"App\Filament\Clusters\Content\Resources\CanvasCompStepsArtsPacksResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
192,browse_our_works,our_works,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\OurWorksResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
193,read_our_works,our_works,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\OurWorksResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
194,edit_our_works,our_works,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Catalog\Resources\OurWorksResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
195,add_our_works,our_works,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\OurWorksResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
196,delete_our_works,our_works,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Catalog\Resources\OurWorksResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
197,browse_blog_posts,blog_posts,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\BlogPostsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
198,read_blog_posts,blog_posts,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\BlogPostsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
199,edit_blog_posts,blog_posts,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\BlogPostsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
200,add_blog_posts,blog_posts,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\BlogPostsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
201,delete_blog_posts,blog_posts,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\BlogPostsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
202,browse_blog,blog,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\BlogResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
203,read_blog,blog,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\BlogResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
204,edit_blog,blog,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\BlogResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
205,add_blog,blog,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\BlogResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
206,delete_blog,blog,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\BlogResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
207,browse_collage_header,collage_header,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\CollageHeaderResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
208,read_collage_header,collage_header,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\CollageHeaderResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
209,edit_collage_header,collage_header,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\CollageHeaderResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
210,add_collage_header,collage_header,create,4|5|8,"manager|Admin 2|seo_manager",3,"App\Filament\Clusters\Content\Resources\CollageHeaderResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
211,delete_collage_header,collage_header,delete,4|8,manager|seo_manager,2,"App\Filament\Clusters\Content\Resources\CollageHeaderResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
217,browse_modular_pics_head,modular_pics_head,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModularPicsHeadResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
218,read_modular_pics_head,modular_pics_head,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModularPicsHeadResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
219,edit_modular_pics_head,modular_pics_head,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\ModularPicsHeadResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
220,add_modular_pics_head,modular_pics_head,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModularPicsHeadResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
221,delete_modular_pics_head,modular_pics_head,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\ModularPicsHeadResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
222,browse_mod_gall_page,mod_gall_page,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModGallPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
223,read_mod_gall_page,mod_gall_page,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModGallPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
224,edit_mod_gall_page,mod_gall_page,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\ModGallPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
225,add_mod_gall_page,mod_gall_page,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModGallPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
226,delete_mod_gall_page,mod_gall_page,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\ModGallPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
227,browse_mod_photo_page,mod_photo_page,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModPhotoPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
228,read_mod_photo_page,mod_photo_page,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModPhotoPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
229,edit_mod_photo_page,mod_photo_page,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\ModPhotoPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
230,add_mod_photo_page,mod_photo_page,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModPhotoPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
231,delete_mod_photo_page,mod_photo_page,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\ModPhotoPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
232,browse_mod_repr_page,mod_repr_page,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModReprPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
233,read_mod_repr_page,mod_repr_page,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModReprPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
234,edit_mod_repr_page,mod_repr_page,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\ModReprPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
235,add_mod_repr_page,mod_repr_page,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\ModReprPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
236,delete_mod_repr_page,mod_repr_page,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\ModReprPageResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
237,browse_gall_globs,gall_globs,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\GallGlobsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
238,read_gall_globs,gall_globs,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\GallGlobsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
239,edit_gall_globs,gall_globs,update,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Catalog\Resources\GallGlobsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
240,add_gall_globs,gall_globs,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Catalog\Resources\GallGlobsResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
